,name,id,postal_code,phone,four_square_id
33747,Consolidated Parts,consolidated-parts-santa-clara,95050.0,4087640200.0,4dd693a21fc7d8d8663d5523
19204,Serrano Electric.,serrano-electric-santa-clara,95054.0,4089861570.0,502ac68fe4b0928ebe632d88
38206,Art Beat Foundation,art-beat-foundation-oakland,94612.0,5107100034.0,50f60b53f0e42ccaf5ae33c6
19221,Sherwin-Williams Paint Store,sherwin-williams-paint-store-clayton-2,94517.0,9256735367.0,51432c4df0e4066e7ad3c951
19184,PostmanMojo,postmanmojo-fremont,94538.0,5102302555.0,526f2877498ee1d570588cd9
50980,Collective Soul,collective-soul-palo-alto,94306.0,6505590699.0,4ddef5dbb3ad92ed94a7a7bf
50989,Viewpoints Art Gallery,viewpoints-art-gallery-los-altos,94022.0,6509415789.0,4f32be4a19836c91c7f5a9a4
14497,Starbucks,starbucks-menlo-park-6,94025.0,6503257528.0,4a57edf0f964a52018b71fe3
19293,Affordable Lighting Source,affordable-lighting-source-fremont,94538.0,5102267200.0,5339f139498e017354b3a6c7
14500,Baskin Robbins,baskin-robbins-menlo-park-3,94025.0,6503239335.0,4a90c650f964a5206b1920e3
19315,Canyon Woods Apartments,canyon-woods-apartments-san-ramon,94582.0,9258305013.0,4e4b6e481f6e2a789a878fd7
51197,Gold Center,gold-center-hayward,94545.0,5102939296.0,4b6377dcf964a520277c2ae3
19320,All Valley Landscape,all-valley-landscape-san-ramon,94583.0,9252482499.0,4f1da74a6d86a4e1b80d99f7
19324,Suma Landscaping of Contra Costa County,suma-landscaping-of-contra-costa-county-san-ramon,94583.0,9256487862.0,4deffb111850828dfec47af9
51083,Safeway,safeway-pacifica-3,94044.0,6503592751.0,4af78597f964a520b10922e3
7102,The Nail Shop,the-nail-shop-walnut-creek-2,94596.0,9259450340.0,4b78517ff964a520e1c42ee3
50880,Thomas Kinkade Galleries,thomas-kinkade-galleries-lafayette,94549.0,9252845620.0,4f32c34619836c91c7f7d536
14555,Mews Market,mews-market-oakland,94603.0,5105688436.0,4be871e49a54a593f4fa0911
19013,Twin Creeks Garden Apartments,twin-creeks-garden-apartments-san-ramon,94583.0,9258309745.0,4c5b5c366ebe2d7ff257cd2e
14556,Sunrise Coffee Co,sunrise-coffee-co-san-leandro-2,94577.0,5104833969.0,4f320d1819833175d60ba47e
7128,Zebra,zebra-walnut-creek,94596.0,9259461087.0,4a498253f964a52065ab1fe3
7129,Bluebell Spa,bluebell-spa-walnut-creek,94597.0,9259393628.0,4dd87ff61838b8561d034ea9
14548,Cilles Liquor Store &market,cilles-liquor-store-and-market-oakland,94621.0,5106355557.0,4f32b6b719836c91c7f27359
29460,Color Schemes Painting,color-schemes-painting-union-city,94587.0,6508260297.0,4dfe188d091aaaba729ed94e
38305,Berkeley Piano Club,berkeley-piano-club-berkeley,94704.0,5108458488.0,4bd3bb8141b9ef3bf6f500e6
38309,"The Period Events & Entertainments Re-creation Society, Inc.",the-period-events-and-entertainments-re-creation-society-inc-alameda,94501.0,5015221731.0,4f32cf3a19836c91c7fd16cd
14546,Hub Market,hub-market-oakland,94603.0,5105621743.0,4f32b08a19836c91c7f02530
33732,Town and Country Cleaner,town-and-country-cleaner-santa-clara,95054.0,4089691998.0,4b886b28f964a5207df631e3
38316,It's Q Time,its-q-time-alameda,94501.0,5105211007.0,4f32c7b319836c91c7f9ca98
14490,Taggart's Liquor,taggarts-liquor-san-leandro,94577.0,5103573407.0,4f32849919836c91c7df984a
6592,Annette's Hair Company,annettes-hair-company-hayward-3,94541.0,5105824247.0,4da8d2d96a2303012ee626f7
6594,The Salon @ Scotty's,the-salon-scottys-castro-valley-2,94546.0,5105373999.0,4ca7bf42f47ea143f60b6e21
6607,Oasis Spa,oasis-spa-los-altos,94024.0,6509171988.0,507428cd39505cdb69790f23
19550,Jim Fraser - Pacific Union,jim-fraser-pacific-union-tiburon,94920.0,4157898686.0,5075ed7ce4b0cf745b07f3d4
6608,Cozy Spa,cozy-spa-mountain-view,94040.0,6509381988.0,532c9b7d498e81ed7896f16c
6539,Champion Clips,champion-clips-union-city,94587.0,5103248738.0,4bb6877c2f70c9b6d4968530
51275,Neighborhood Church Bookstore,neighborhood-church-bookstore-castro-valley,94546.0,5105374690.0,4b410042f964a52023bf25e3
14468,Lee's Donuts 12,lees-donuts-12-oakland,94605.0,5107296165.0,4f32a82819836c91c7ed0bca
6751,Simply Unique Hair Designs,simply-unique-hair-designs-mountain-view,94043.0,6509619388.0,4ba3f921f964a520327338e3
51218,Crazy 8,crazy-8-hayward,94545.0,5102930993.0,4b6233f1f964a520f83b2ae3
29373,Pacific Business Centers,pacific-business-centers-pleasant-hill-2,94523.0,9257467100.0,4c8c17bff128199c30002eb1
11409,7-Eleven,7-eleven-san-bruno,94066.0,6508710411.0,4c634904edd320a1dc2faf29
51348,Discount Cigarettes,discount-cigarettes-pacifica,94044.0,6503591867.0,4e2728d2fa7682ed23089930
19471,"Extreme Makeovers, Inc",extreme-makeovers-inc-san-jose,95134.0,4086614177.0,52416bae0493bea39c25dbb7
51365,Treible Stationers Inc,treible-stationers-inc-castro-valley-2,94546.0,5105373600.0,4d37605f9516236a0a378c51
19494,Spiker Woodworking,spiker-woodworking-santa-clara,95050.0,4082975950.0,502345cc011cfeafe825935c
14465,Marina Liquors,marina-liquors-san-leandro,94577.0,5104834030.0,4d7685f70dbb6dcbb384ec6f
6725,Beauty 360,beauty-360-castro-valley-2,94546.0,5105388138.0,4e3c860ab61cb577be6b4b08
6708,Hair Benders,hair-benders-castro-valley,94546.0,5108897414.0,4d519007d7eaa1435b7b740f
