,from_id,to_id,total_checkins
0,4a57edf0f964a52018b71fe3,4a873d60f964a5206a0320e3,1317
1,4a57edf0f964a52018b71fe3,4a11b8aaf964a52037771fe3,4107
2,4a57edf0f964a52018b71fe3,4af1f21cf964a520a0e421e3,1445
3,4a57edf0f964a52018b71fe3,44ef7327f964a520ed371fe3,10792
4,4a57edf0f964a52018b71fe3,4af70aa2f964a5201d0522e3,771
5,4af78597f964a520b10922e3,4b2084abf964a520dd3224e3,957
6,4af78597f964a520b10922e3,4bba0152cf2fc9b65cffa002,869
7,4af78597f964a520b10922e3,4b637392f964a520d87a2ae3,1257
8,4af78597f964a520b10922e3,4af0e45af964a520f0df21e3,618
9,4af78597f964a520b10922e3,4bf58b67493c2d7fced54785,853
10,4a498253f964a52065ab1fe3,455ad6b4f964a520573d1fe3,13386
11,4b886b28f964a5207df631e3,4a510702f964a52072b01fe3,15327
12,4b886b28f964a5207df631e3,44e34b8bf964a5203b371fe3,7572
13,4b410042f964a52023bf25e3,50abe3bce4b0de093ecafb5b,318
14,4b410042f964a52023bf25e3,4b539920f964a5200ba427e3,1535
15,4c634904edd320a1dc2faf29,45606719f964a5209b3d1fe3,25891
16,4b42334bf964a520c7ce25e3,4b7c964bf964a5207c9c2fe3,2092
17,4b42334bf964a520c7ce25e3,4af78bc4f964a520cb0922e3,8245
18,4b42334bf964a520c7ce25e3,4ada3de7f964a5206e2021e3,7648
19,4b42334bf964a520c7ce25e3,4b0ec6f8f964a520e35a23e3,1994
20,4b42334bf964a520c7ce25e3,4788a5ddf964a520384d1fe3,3963
21,4a998859f964a520ea2e20e3,4b1b1e5ef964a52058f823e3,3417
22,4a998859f964a520ea2e20e3,49fca052f964a520c16e1fe3,2389
23,4a998859f964a520ea2e20e3,4e7f455ed3e3b8285efe60fb,2535
24,4a998859f964a520ea2e20e3,4aea628df964a52054bb21e3,2346
25,4a43b1e5f964a520b1a61fe3,51507428e4b06e0e5323c594,194
26,4b4a66dff964a520878626e3,43616a00f964a52037291fe3,22056
27,4b4a66dff964a520878626e3,4dd1580eb3adb047f5024231,16115
28,4b4a66dff964a520878626e3,49c24cc7f964a520e3551fe3,11525
29,4b4a66dff964a520878626e3,49ff43f9f964a520fa6f1fe3,11014
30,4aedfea9f964a52003d121e3,451540d2f964a520f7391fe3,4345
31,4aedfea9f964a52003d121e3,4bb17a86f964a520f8953ce3,803
32,4aedfea9f964a52003d121e3,4afa2320f964a520fe1622e3,18019
33,4aedfea9f964a52003d121e3,49f00667f964a52028691fe3,7996
34,4e0e0ecc62843e04afa78e0d,4a0cd28af964a5205f751fe3,3095
35,4e0e0ecc62843e04afa78e0d,4a89ed8ef964a520600920e3,5574
36,4e0e0ecc62843e04afa78e0d,4ab06600f964a5204c6720e3,943
37,4b736cb0f964a520cfad2de3,49972b39f964a52089521fe3,16004
38,4b723112f964a5204c732de3,4afcba2af964a5206a2522e3,2292
39,4a84daacf964a520bcfd1fe3,4afcba2af964a5206a2522e3,2292
40,4a84daacf964a520bcfd1fe3,4838dba9f964a520fd4f1fe3,10383
41,4a84daacf964a520bcfd1fe3,4c02dfdb0d0e0f47c9cb019a,354
42,4a84daacf964a520bcfd1fe3,4a6c8f6ef964a520d2d01fe3,9261
43,4a84daacf964a520bcfd1fe3,4b4a0517f964a5201a7826e3,561
44,4a4ae1aaf964a5203fac1fe3,4a7b6d2cf964a520f9ea1fe3,1813
45,49db06cbf964a520c05e1fe3,40bbc700f964a520b1001fe3,102978
46,49db06cbf964a520c05e1fe3,4b4e6509f964a5201bec26e3,2153
47,49db06cbf964a520c05e1fe3,4a4ac040f964a52026ac1fe3,21659
48,49db06cbf964a520c05e1fe3,4ac949f4f964a5208cbf20e3,7710
49,49db06cbf964a520c05e1fe3,45214385f964a520c43a1fe3,1720
50,4a79c77bf964a520a5e71fe3,4a283a2cf964a520fe941fe3,1513
51,4a79c77bf964a520a5e71fe3,4a7a36a9f964a520e1e81fe3,4857
52,4a79c77bf964a520a5e71fe3,4a5a7f27f964a52070ba1fe3,2420
53,4a79c77bf964a520a5e71fe3,4fe0701a754a6e750336898c,285
54,4a79c77bf964a520a5e71fe3,43067280f964a52023271fe3,102489
55,4d0acea86c51a143b29ca635,4aa9ea24f964a520815520e3,1519
56,4d0acea86c51a143b29ca635,49c5ae3ff964a5201c571fe3,3830
57,4d0acea86c51a143b29ca635,4ac805cff964a5203cbb20e3,2880
58,4d0acea86c51a143b29ca635,4df8111062847bdf4feb5d1d,1409
59,4bb2b6ca42959c743241212c,4b305bf6f964a52029f924e3,4509
60,4bb2b6ca42959c743241212c,4c1bce9cb4e62d7fee02da93,1222
61,4bb2b6ca42959c743241212c,4bc8d41468f976b005105c83,1106
62,4bb2b6ca42959c743241212c,4b2e9021f964a5208be224e3,2331
63,4b5509bbf964a520d8d827e3,4bc1c5c4461576b0924e7c32,1303
64,4b16cd91f964a520b7bd23e3,4e860fdfb803eed4242419cd,171
65,4b16cd91f964a520b7bd23e3,4b639e0bf964a52057872ae3,1036
66,4b5e6f56f964a520998e29e3,4a33bce5f964a5203a9b1fe3,8415
67,4b5e6f56f964a520998e29e3,4c65c9357abde21e49c46168,2947
68,4b5e6f56f964a520998e29e3,49dfad1ef964a520f9601fe3,24586
69,4b5e6f56f964a520998e29e3,4afdc6eef964a520c22a22e3,11862
70,4ccef4d22dc437049edad708,455ad6e0f964a520583d1fe3,8593
71,4b737912f964a52041b02de3,4a34225bf964a520c89b1fe3,21098
72,4d51defebd6ff04dc635f60c,4a5bed61f964a52002bc1fe3,6839
73,4d51defebd6ff04dc635f60c,4ab0402ff964a520ad6620e3,10980
74,4a23f4edf964a520ed7d1fe3,4abc421df964a520ef8620e3,22625
75,4a23f4edf964a520ed7d1fe3,4a92eedcf964a520301e20e3,3674
76,4a23f4edf964a520ed7d1fe3,42926e80f964a52026241fe3,8315
77,4a23f4edf964a520ed7d1fe3,49f00938f964a52029691fe3,4887
78,4a23f4edf964a520ed7d1fe3,49e03a9df964a52047611fe3,52540
79,4aa68140f964a520024a20e3,4abd2857f964a520c98820e3,12836
80,4aa68140f964a520024a20e3,40870b00f964a5209bf21ee3,35805
81,4aa68140f964a520024a20e3,46ae7ba1f964a52086491fe3,13453
82,4aa68140f964a520024a20e3,40c8f600f964a520fe001fe3,20331
83,4aa68140f964a520024a20e3,4ac50c34f964a5202ca020e3,1082
84,4b4e6701f964a52073ec26e3,4aa9b26cf964a520ed5420e3,8003
85,4a45130cf964a520bca71fe3,435c2400f964a52008291fe3,36154
86,4a45130cf964a520bca71fe3,4a22d2adf964a520907d1fe3,10471
87,4a45130cf964a520bca71fe3,4a8ae30ff964a520bc0a20e3,13379
88,4a45130cf964a520bca71fe3,4b037087f964a520684f22e3,2287
89,4a45130cf964a520bca71fe3,4ad0ff2bf964a520d3db20e3,5997
90,4b2a63ddf964a5202ea824e3,449d1646f964a520b5341fe3,71633
91,4b2a63ddf964a5202ea824e3,4a05db88f964a5208c721fe3,6205
92,4b2a63ddf964a5202ea824e3,4b3129f2f964a520890125e3,1061
93,4b2a63ddf964a5202ea824e3,4283ee00f964a5209c221fe3,52938
94,4b2a63ddf964a5202ea824e3,4a7483f6f964a52062de1fe3,3921
95,5290dfe611d20e4e0350fbb6,42d1b680f964a5200c261fe3,10110
96,4a6be09ff964a5202bd01fe3,49eb850cf964a520ef661fe3,4310
97,4a6be09ff964a5202bd01fe3,4a6f66bff964a52013d61fe3,1373
98,4a6be09ff964a5202bd01fe3,4a6f6779f964a52016d61fe3,5673
99,4a6be09ff964a5202bd01fe3,449d1646f964a520b5341fe3,71633
100,4a6be09ff964a5202bd01fe3,49dfad1ef964a520f9601fe3,24586
101,4bbde6eb4e069c74c8439fe3,4bd9f7a93904a5937376449e,1661
102,4bef8d195e4aa5931b3159bb,4b0f6683f964a520066223e3,1454
103,527e907811d2f7f0f9f1f3b6,49e3d406f964a520e2621fe3,6139
104,527e907811d2f7f0f9f1f3b6,442fe898f964a520e5311fe3,39417
105,527e907811d2f7f0f9f1f3b6,4a8dc175f964a520ba1020e3,3023
106,527e907811d2f7f0f9f1f3b6,49f7a66df964a520cc6c1fe3,7371
107,4bc35a8cdce4eee10e90719d,4c44ac0cdd1f2d7fb72f80f9,705
108,4bc35a8cdce4eee10e90719d,49e03a9df964a52047611fe3,52540
109,4bc35a8cdce4eee10e90719d,430e5b80f964a52043271fe3,68531
110,4a0f3b47f964a52041761fe3,4af70aa2f964a5201d0522e3,771
111,4b1b383bf964a520c4f923e3,4a87356df964a5203e0320e3,1582
112,4c0b225b009a0f4721beeabf,4c1164796e5dc9b6cb06b02d,2399
113,4bce25bcc564ef3b01c1edf0,4be097e64f15c92842bfcb0b,1340
114,4a444f47f964a52073a71fe3,4af626c2f964a520b90122e3,1456
115,4a444f47f964a52073a71fe3,4390a026f964a5204d2b1fe3,35782
116,4e8dcd8d7ee6bb6ad453d5a4,46002d20f964a52093441fe3,23572
117,4a76580bf964a520dfe21fe3,4486b2d2f964a5202d341fe3,18420
118,4a76580bf964a520dfe21fe3,43bfc471f964a520222d1fe3,5445
119,4a76580bf964a520dfe21fe3,4aba7ea3f964a520988120e3,5815
120,4a76580bf964a520dfe21fe3,4e7a4e1745dd963b8707b65c,4087
